@RELATION autor
@ATTRIBUTE author	REAL
@ATTRIBUTE title 	REAL
@ATTRIBUTE venue 	REAL
@ATTRIBUTE class 	INTEGER
@DATA
0,58,25, 98
1,62,28, 96
2,47,16, 103
3,38,5, 118
4,50,46, 106
5,85,33, 154
6,49,16, 121
7,39,25, 127
8,40,38, 117
9,78,16, 98
10,42,32, 98
11,54,16, 152
12,61,28, 114
13,46,49, 95
14,42,21, 98
15,62,24, 148
16,73,25, 103
17,106,57, 96
18,49,41, 127
19,28,48, 118
20,65,33, 96
21,48,15, 121
22,44,19, 115
23,68,28, 143
24,66,23, 98
25,32,12, 151
26,46,27, 115
27,75,68, 96
28,36,30, 151
29,64,33, 103
30,55,25, 97
31,23,19, 115
32,62,7, 141
33,49,49, 96
34,18,75, 115
35,34,16, 101
36,41,24, 106
37,43,11, 119
38,47,28, 97
39,20,12, 115
40,35,36, 94
41,48,21, 104
42,35,56, 109
43,39,51, 115
44,45,52, 104
45,98,76, 95
46,45,16, 115
47,40,22, 99
48,57,27, 96
49,65,28, 152
50,33,64, 95
51,40,26, 126
52,56,30, 96
53,56,28, 115
54,58,38, 104
55,41,36, 126
56,26,18, 115
57,52,48, 151
58,21,13, 104
59,50,48, 151
60,44,36, 148
61,35,51, 131
62,47,37, 126
63,37,24, 115
64,24,28, 153
65,50,39, 132
66,42,16, 97
67,4,0, 104
68,42,53, 146
69,44,51, 95
70,32,21, 115
71,71,18, 133
72,37,21, 110
73,32,12, 94
74,38,81, 151
75,31,56, 109
76,74,37, 126
77,76,16, 125
78,29,51, 106
79,44,34, 102
80,33,53, 115
81,53,38, 104
82,53,21, 104
83,39,44, 115
84,56,13, 137
85,19,18, 115
86,28,21, 126
87,44,38, 117
88,41,12, 106
89,51,29, 151
90,70,29, 112
91,55,25, 152
92,62,56, 118
93,63,39, 118
94,66,42, 99
95,37,3, 95
96,38,30, 98
97,50,10, 94
98,33,16, 97
99,29,35, 112
100,61,16, 132
101,50,12, 115
102,28,30, 133
103,67,20, 133
104,39,32, 146
105,29,15, 154
106,28,19, 115
107,12,18, 115
108,27,60, 108
109,47,16, 149
110,47,31, 109
111,59,85, 108
112,82,17, 96
113,30,8, 115
114,50,24, 137
115,42,28, 115
116,32,19, 115
117,59,25, 102
118,19,12, 102
119,70,15, 154
120,58,36, 126
121,46,19, 129
122,63,37, 152
123,70,25, 105
124,54,23, 98
125,43,28, 101
126,42,32, 126
127,64,17, 115
128,60,16, 125
129,59,24, 96
130,89,64, 95
131,35,62, 146
132,44,16, 126
133,16,12, 151
134,4,0, 104
135,53,15, 122
136,53,11, 132
137,33,19, 115
138,42,14, 136
139,39,16, 138
140,47,72, 115
141,51,19, 96
142,41,36, 148
143,39,56, 98
144,25,30, 130
145,55,58, 95
146,50,28, 108
147,44,43, 106
148,37,40, 101
149,69,11, 99
150,24,27, 146
151,51,23, 96
152,47,64, 95
153,28,14, 134
154,69,37, 108
155,39,102, 106
156,45,30, 103
157,41,37, 129
158,39,41, 127
159,32,32, 131
